# Nutrition per 100 g of RAW product, plus the physical constants needed to turn
# "1 стакан" or "2 штуки" into grams.
#
# Values follow standard Russian food-composition references (Скурихин,
# "Химический состав российских пищевых продуктов"), cross-checked against USDA
# FoodData Central where a product has no Russian entry.
#
# Loaded by scripts/load_ingredient_nutrition.py, which matches on the
# normalised ingredient name. Editing a row and re-running updates the database;
# the file is the source of truth, not the table.
#
# density_g_per_ml and piece_grams may be empty — the generic tables in
# app/recipes/units.py then apply.
name,category,kcal_100,protein_100,fat_100,carb_100,density_g_per_ml,piece_grams
репа,овощи,32,1.5,0.1,6.2,,150
пастернак,овощи,47,1.4,0.5,9.2,,130
топинамбур,овощи,61,2.1,0.1,12.8,,80
шпинат,овощи,23,2.9,0.3,2.0,,
листья салата,овощи,15,1.5,0.2,2.3,,
руккола,овощи,25,2.6,0.7,2.1,,
зелень,овощи,36,3.0,0.4,6.3,,
петрушка,овощи,49,3.7,0.4,7.6,,
рубленая петрушка,овощи,49,3.7,0.4,7.6,,
укроп,овощи,38,2.5,0.5,6.3,,
кинза,овощи,23,2.1,0.5,3.7,,
базилик,овощи,27,3.2,0.6,2.7,,
мята,овощи,49,3.7,0.9,8.0,,
щавель,овощи,19,1.5,0.3,2.9,,
кукуруза,овощи,101,3.5,1.5,15.6,,
зеленый горошек,овощи,73,5.0,0.2,13.8,,
стручковая фасоль,овощи,24,2.0,0.2,3.6,,
спаржа,овощи,21,1.9,0.1,3.1,,
артишоки,овощи,28,1.2,0.1,6.0,,
маринованные огурцы,овощи,11,0.8,0.1,1.7,,100
квашеная капуста,овощи,19,1.8,0.1,4.5,,
оливки,овощи,145,0.8,15.3,0.6,,4
маслины,овощи,145,0.8,15.3,0.6,,4
каперсы,овощи,23,2.4,0.9,4.9,,1
имбирь,овощи,80,1.8,0.8,15.8,,
# --- грибы ------------------------------------------------------------------
шампиньоны,грибы,27,4.3,1.0,0.1,,20
белые грибы,грибы,34,3.7,1.7,1.1,,50
вешенки,грибы,38,3.3,0.4,6.1,,25
лисички,грибы,32,1.5,0.5,6.9,,15
# --- фрукты и ягоды ---------------------------------------------------------
яблоко,фрукты,47,0.4,0.4,9.8,,180
груша,фрукты,42,0.4,0.3,10.9,,180
банан,фрукты,89,1.5,0.2,21.8,,120
лимон,фрукты,16,0.9,0.1,3.0,,100
лимонный сок,фрукты,16,0.9,0.1,3.0,1.03,
лайм,фрукты,16,0.9,0.1,3.0,,60
апельсин,фрукты,43,0.9,0.2,8.1,,180
мандарин,фрукты,38,0.8,0.2,7.5,,90
грейпфрут,фрукты,35,0.7,0.2,6.5,,350
авокадо,фрукты,160,2.0,14.7,1.8,,200
ананас,фрукты,49,0.4,0.2,11.8,,1200
манго,фрукты,60,0.8,0.4,15.0,,300
виноград,фрукты,72,0.6,0.2,15.4,,
клубника,фрукты,32,0.8,0.4,7.5,,
малина,фрукты,52,0.8,0.5,8.3,,
черника,фрукты,44,1.1,0.4,7.6,,
клюква,фрукты,26,0.5,0.2,6.5,,
смородина,фрукты,44,1.0,0.4,7.3,,
вишня,фрукты,52,0.8,0.2,10.6,,
персик,фрукты,45,0.9,0.1,9.5,,150
слива,фрукты,49,0.8,0.3,9.6,,40
абрикос,фрукты,44,0.9,0.1,9.0,,40
изюм,фрукты,299,3.1,0.5,79.2,,
курага,фрукты,241,5.2,0.3,51.0,,
чернослив,фрукты,231,2.3,0.7,57.5,,
финики,фрукты,282,2.5,0.5,69.2,,8
# --- крупы, макароны, бобовые ----------------------------------------------
рис,крупы,344,6.7,0.7,78.9,0.85,
бурый рис,крупы,337,7.4,1.8,72.9,0.85,
дикий рис,крупы,357,14.7,1.1,74.9,0.85,
гречка,крупы,343,12.6,3.3,62.1,0.80,
овсяные хлопья,крупы,366,11.9,7.2,69.3,0.35,
перловка,крупы,315,9.3,1.1,66.9,0.85,
пшено,крупы,348,11.5,3.3,66.5,0.85,
булгур,крупы,342,12.3,1.3,63.4,0.80,
кускус,крупы,376,12.8,0.6,72.4,0.75,
киноа,крупы,368,14.1,6.1,57.2,0.75,
манная крупа,крупы,333,10.3,1.0,70.6,0.80,
макароны,макароны,344,10.4,1.1,71.5,,
паста,макароны,344,10.4,1.1,71.5,,
спагетти,макароны,344,10.4,1.1,71.5,,
лапша,макароны,337,12.0,3.7,60.1,,
фасоль,бобовые,298,21.0,2.0,47.0,0.80,
черная фасоль,бобовые,298,21.0,2.0,47.0,0.80,
консервированная фасоль,бобовые,99,6.7,0.3,17.0,,
нут,бобовые,364,19.0,6.0,61.0,0.80,
консервированный нут,бобовые,139,7.1,2.6,22.5,,
чечевица,бобовые,295,24.0,1.5,46.3,0.85,
горох,бобовые,298,20.5,2.0,49.5,0.85,
# --- мука и хлеб ------------------------------------------------------------
пшеничная мука,мука,342,10.3,1.1,70.6,0.55,
мука,мука,342,10.3,1.1,70.6,0.55,
ржаная мука,мука,298,8.9,1.7,61.8,0.55,
миндальная мука,мука,590,21.0,53.0,10.0,0.45,
кокосовая мука,мука,400,18.0,13.0,22.0,0.45,
кукурузный крахмал,мука,329,0.6,0.6,85.0,0.65,
крахмал,мука,329,0.6,0.6,85.0,0.65,
панировочные сухари,мука,347,11.2,1.9,72.1,0.45,
белый хлеб,мука,242,7.6,3.3,45.2,,30
хлеб,мука,242,7.6,3.3,45.2,,30
багет,мука,262,8.0,2.0,52.0,,250
лаваш,мука,236,7.9,1.0,47.6,,100
тортилья,мука,310,8.0,8.0,50.0,,50
разрыхлитель,мука,53,0,0,28.0,,
дрожжи,мука,109,12.7,2.7,8.5,,
сода,мука,0,0,0,0,,
# --- масла и жиры -----------------------------------------------------------
растительное масло,масла,899,0,99.9,0,0.92,
подсолнечное масло,масла,899,0,99.9,0,0.92,
оливковое масло,масла,898,0,99.8,0,0.92,
оливковое масло extra virgin,масла,898,0,99.8,0,0.92,
кунжутное масло,масла,899,0,99.9,0,0.92,
кокосовое масло,масла,899,0,99.9,0,0.92,
# --- орехи и семена ---------------------------------------------------------
грецкие орехи,орехи,654,15.2,65.2,7.0,,
миндаль,орехи,609,18.6,53.7,13.0,,
кешью,орехи,600,18.5,48.5,22.5,,
фундук,орехи,651,15.0,61.5,9.4,,
фисташки,орехи,556,20.0,50.0,7.0,,
кедровые орехи,орехи,673,13.7,68.4,13.1,,
арахис,орехи,567,26.3,45.2,9.9,,
семена кунжута,орехи,565,19.4,48.7,12.2,,
семена подсолнечника,орехи,601,20.7,52.9,10.5,,
семена тыквы,орехи,556,24.5,45.8,4.7,,
# --- специи и приправы ------------------------------------------------------
соль,специи,0,0,0,0,1.20,
морская соль,специи,0,0,0,0,1.20,
молотый черный перец,специи,251,10.4,3.3,38.7,0.45,
свежемолотый черный перец,специи,251,10.4,3.3,38.7,0.45,
черный перец,специи,251,10.4,3.3,38.7,0.45,
красный перец,специи,318,12.0,17.3,29.0,0.45,
паприка,специи,282,14.1,13.0,34.0,0.45,
куркума,специи,354,7.8,9.9,64.9,0.45,
кориандр,специи,298,12.4,17.8,13.1,0.45,
тмин,специи,375,17.8,22.3,33.7,0.45,
корица,специи,247,3.9,3.2,27.5,0.45,
мускатный орех,специи,525,5.8,36.3,49.3,0.45,
молотый имбирь,специи,347,9.1,5.9,58.3,0.45,
тимьян,специи,101,5.6,1.7,10.5,,
розмарин,специи,131,3.3,5.9,20.7,,
орегано,специи,265,9.0,4.3,68.9,,
шалфей,специи,315,10.6,12.8,60.7,,
прованские травы,специи,259,9.0,7.0,50.0,,
лавровый лист,специи,313,7.6,8.4,48.6,,0.2
ванилин,специи,288,0.1,0.1,12.7,,
горчица,соусы,143,9.9,12.7,5.3,1.05,
# --- соусы ------------------------------------------------------------------
майонез,соусы,627,3.1,67.0,2.6,0.94,
кетчуп,соусы,93,1.8,0.2,22.2,1.10,
томатная паста,соусы,102,4.3,0.5,19.0,1.10,
томатный соус,соусы,80,1.7,0.5,17.0,1.05,
томатный соус пассата,соусы,32,1.6,0.2,5.8,1.05,
соевый соус,соусы,53,8.1,0,3.6,1.15,
уксус,соусы,18,0,0,0.6,1.01,
бальзамический уксус,соусы,88,0.5,0,17.0,1.05,
вустерский соус,соусы,78,0,0,19.0,1.10,
песто,соусы,450,5.0,45.0,6.0,1.00,
хумус,соусы,166,7.9,9.6,14.3,1.00,
# --- сладости ---------------------------------------------------------------
сахар,сладости,399,0,0,99.7,0.85,
коричневый сахар,сладости,377,0,0,97.3,0.85,
сахарная пудра,сладости,399,0,0,99.8,0.60,
мед,сладости,329,0.8,0,81.5,1.40,
кленовый сироп,сладости,260,0,0,67.0,1.32,
сахарный сироп,сладости,300,0,0,75.0,1.25,
шоколад,сладости,546,4.9,29.7,63.5,,
черный шоколад,сладости,539,5.4,31.3,52.4,,
какао,сладости,289,24.3,15.0,10.2,0.45,
сгущенное молоко,сладости,320,7.2,8.5,56.0,1.29,
джем,сладости,265,0.4,0.2,65.0,1.30,
# --- напитки и жидкости -----------------------------------------------------
вода,напитки,0,0,0,0,1.00,
куриный бульон,напитки,15,2.0,0.5,0.5,1.00,
овощной бульон,напитки,10,0.5,0.2,1.5,1.00,
говяжий бульон,напитки,20,2.5,0.8,0.3,1.00,
белое сухое вино,напитки,66,0.1,0,0.6,0.99,
красное сухое вино,напитки,68,0.2,0,0.3,0.99,
водка,напитки,231,0,0,0.1,0.95,
апельсиновый сок,напитки,45,0.7,0.1,10.4,1.05,
томатный сок,напитки,18,1.0,0.1,3.5,1.04,
кофе,напитки,2,0.2,0,0.3,1.00,
# --- variants and gaps found by the coverage report -------------------------
рукола,овощи,25,2.6,0.7,2.1,,
зеленый салат,овощи,15,1.5,0.2,2.3,,
салат,овощи,15,1.5,0.2,2.3,,
листья салата романо,овощи,17,1.2,0.3,3.3,,
рис арборио,крупы,349,7.0,0.6,77.0,0.85,
гречневая крупа,крупы,343,12.6,3.3,62.1,0.80,
перловая крупа,крупы,315,9.3,1.1,66.9,0.85,
рисовая крупа,крупы,344,6.7,0.7,78.9,0.85,
шафран,специи,310,11.4,5.9,61.5,0.45,
карри,специи,325,12.7,13.8,58.2,0.45,
молотый белый перец,специи,296,10.4,2.1,68.6,0.45,
смесь перцев,специи,251,10.4,3.3,38.7,0.45,
молотый кумин,специи,375,17.8,22.3,33.7,0.45,
кумин,специи,375,17.8,22.3,33.7,0.45,
зира,специи,375,17.8,22.3,33.7,0.45,
специи,специи,251,10.4,3.3,38.7,0.45,
сушеный орегано,специи,265,9.0,4.3,68.9,,
сухие дрожжи,мука,325,40.4,7.6,11.3,,
грибы,грибы,27,4.3,1.0,0.1,,20
грибы шиитаке,грибы,34,2.2,0.5,6.8,,20
белые сушеные грибы,грибы,286,30.3,14.3,9.0,,
салями,мясо,568,21.6,53.7,1.1,,
прошутто,мясо,247,25.9,16.0,0.3,,
пастрома,мясо,133,22.0,4.5,1.0,,
анчоусы,рыба,131,20.4,4.8,0,,5
филе лосося,рыба,208,20.0,13.4,0,,
филе куриной грудки,птица,113,23.6,1.9,0.4,,250
рыбный бульон,напитки,15,2.0,0.5,0.5,1.00,
кунжутные семечки,орехи,565,19.4,48.7,12.2,,
тесто для пиццы,мука,275,8.5,4.0,50.0,,
слоеное тесто,мука,363,5.7,23.4,33.0,,
фенхель,овощи,31,1.2,0.2,7.3,,300
корень имбиря,овощи,80,1.8,0.8,15.8,,
груши,фрукты,42,0.4,0.3,10.9,,180
соус терияки,соусы,89,5.9,0,15.6,1.15,
рыбный соус,соусы,35,5.1,0,3.6,1.15,
острый соус,соусы,40,1.0,0.5,8.0,1.05,
сливочный сыр,молочка,342,5.9,33.0,4.1,,
сыр гауда,молочка,356,25.0,27.4,2.2,,
сыр бри,молочка,334,20.8,27.7,0.5,,
сыр горгонзола,молочка,350,19.0,30.0,0,,
греческий йогурт,молочка,59,10.0,0.4,3.6,1.03,
кокосовое молоко,напитки,230,2.3,24.0,6.0,1.00,
миндальное молоко,напитки,17,0.6,1.1,0.6,1.01,
бульон,напитки,15,2.0,0.5,0.5,1.00,
белый винный уксус,соусы,18,0,0,0.6,1.01,
яблочный уксус,соусы,21,0,0,0.9,1.01,
рисовый уксус,соусы,18,0,0,0.6,1.01,
сухари,мука,347,11.2,1.9,72.1,0.45,
кускус крупный,крупы,376,12.8,0.6,72.4,0.75,
